seq_index;GeneChoice_V_gene_Undefined_side_prio7_size103;GeneChoice_J_gene_Undefined_side_prio6_size68;Deletion_V_gene_Three_prime_prio5_size21;Deletion_J_gene_Five_prime_prio5_size23;Insertion_VJ_gene_Undefined_side_prio4_size41;DinucMarkov_VJ_gene_Undefined_side_prio3_size16;Errors
6219;(70);(24);(6);(9);(15);(3,1,1,1,0,2,0,2,2,2,0,2,0,2,0);(180,207,345)
6220;(13);(26);(9);(9);(9);(1,2,2,0,3,3,3,2,1);(147,180)
6221;(28);(14);(10);(10);(4);(2,2,3,1);()
6222;(17);(15);(4);(7);(5);(3,1,0,2,2);(288,297)
6223;(47);(42);(1);(12);(11);(0,0,2,0,2,0,0,2,0,2,0);(169)
6224;(4);(43);(4);(7);(3);(0,2,3);(133,286)
6225;(6);(55);(11);(7);(5);(2,0,1,1,2);(161)
6226;(45);(42);(3);(7);(10);(2,0,1,1,3,0,1,1,1,3);(65)
6227;(32);(54);(7);(9);(13);(2,0,2,0,1,1,2,2,2,3,1,1,1);(99,308)
6228;(14);(66);(6);(10);(3);(2,2,0);(2,244)
6229;(68);(45);(13);(7);(11);(2,1,0,3,3,3,1,1,3,1,1);(328)
6230;(22);(55);(7);(10);(5);(2,0,1,3,3);(166)
6231;(25);(28);(8);(10);(8);(0,2,0,2,1,0,2,0);()
6232;(25);(42);(8);(16);(4);(2,2,2,1);(57,73)
6233;(50);(36);(17);(7);(2);(2,2);()
6234;(74);(67);(7);(8);(1);(2);(163)
6235;(42);(25);(4);(9);(9);(0,2,2,3,3,2,2,0,0);()
6236;(32);(14);(3);(3);(7);(1,1,1,1,2,3,3);(30,116,334)
6237;(25);(37);(16);(3);(3);(1,0,1);(105,126,135,216,233)
6238;(41);(60);(6);(16);(6);(0,1,3,2,2,2);()
6239;(34);(44);(10);(9);(12);(2,2,1,1,0,3,0,2,3,2,1,1);(27)
6240;(13);(32);(15);(9);(12);(0,2,1,2,2,2,0,0,3,0,0,3);(2)
6241;(70);(9);(3);(11);(5);(2,1,1,1,1);()
6242;(32);(14);(9);(8);(4);(2,1,3,3);(180)
6243;(99);(39);(4);(5);(4);(1,1,3,3);()
6244;(28);(39);(4);(12);(8);(2,2,2,2,0,1,1,1);()
6245;(85);(62);(4);(16);(6);(1,1,3,1,3,2);()
6246;(50);(60);(2);(6);(8);(2,0,1,1,0,1,1,1);()
6247;(70);(17);(5);(5);(6);(1,1,1,2,3,3);(189)
6248;(18);(45);(3);(12);(11);(1,2,0,0,0,1,0,0,2,3,1);()
6249;(13);(26);(9);(8);(1);(1);()
6250;(68);(47);(11);(5);(6);(3,1,1,3,2,1);(54,90,258)
6251;(26);(62);(5);(7);(3);(3,0,2);(121)
6252;(70);(51);(4);(5);(4);(1,3,3,3);()
6253;(28);(22);(8);(6);(2);(3,2);()
6254;(81);(28);(19);(15);(11);(2,2,2,3,3,0,2,0,0,0,0);(173)
6255;(99);(42);(9);(10);(2);(2,3);()
6256;(41);(56);(6);(16);(7);(0,0,2,1,3,0,0);(55)
6257;(28);(55);(7);(3);(7);(0,2,1,3,0,2,2);(8,74)
6258;(13);(28);(9);(6);(2);(2,2);()
6259;(99);(1);(10);(10);(15);(0,0,3,1,1,3,3,2,2,2,1,2,0,0,0);()
6260;(47);(59);(6);(5);(4);(0,1,1,1);(58,99)
6261;(17);(16);(4);(22);(2);(2,1);()
6262;(32);(42);(5);(22);(2);(2,2);(159)
6263;(4);(42);(11);(12);(2);(0,0);(133)
6264;(47);(16);(8);(12);(3);(2,1,2);()
6265;(4);(45);(8);(12);(11);(1,2,3,1,3,0,1,1,3,3,2);(148)
6266;(33);(58);(5);(11);(7);(0,0,0,2,2,2,2);()
6267;(19);(26);(6);(7);(4);(3,3,1,0);(129)
6268;(51);(60);(3);(8);(8);(0,0,0,3,1,3,0,0);()
6269;(6);(45);(7);(7);(5);(3,2,3,3,3);(77)
6270;(50);(27);(13);(12);(13);(0,2,3,2,2,0,2,2,1,3,3,1,1);()
6271;(70);(17);(7);(10);(5);(2,1,3,3,2);(35)
6272;(68);(52);(11);(10);(5);(0,1,0,0,2);(2)
6273;(13);(67);(10);(7);(3);(2,1,2);()
6274;(14);(31);(10);(9);(6);(2,2,2,2,2,2);()
6275;(23);(43);(14);(10);(11);(3,1,2,2,0,1,1,2,1,3,0);(25)
6276;(14);(44);(4);(10);(4);(2,1,3,1);()
6277;(50);(56);(11);(5);(3);(3,2,3);()
6278;(25);(33);(5);(7);(7);(2,1,1,3,2,1,1);(26,278)
6279;(64);(34);(4);(9);(2);(2,2);(261,284)
6280;(58);(40);(8);(12);(3);(0,2,2);(69,323)
6281;(16);(33);(5);(8);(2);(0,1);()
6282;(14);(49);(8);(11);(16);(2,3,2,1,3,3,2,2,1,1,0,2,2,2,2,2);(38,100)
6283;(58);(44);(5);(10);(5);(0,1,0,0,2);(244)
6284;(28);(55);(10);(15);(15);(2,1,1,1,1,3,3,2,2,2,1,2,0,2,3);()
6285;(17);(10);(4);(12);(5);(3,1,2,1,2);()
6286;(37);(45);(8);(8);(9);(2,0,3,1,3,1,1,1,1);(149,260)
6287;(74);(9);(10);(7);(8);(3,1,1,3,1,1,1,2);(103,189,210)
6288;(13);(3);(5);(8);(5);(3,2,2,3,3);(45,209,254)
6289;(51);(50);(3);(8);(12);(2,2,3,2,2,1,1,1,3,3,2,3);()
6290;(34);(17);(11);(12);(5);(0,0,0,3,1);(182)
6291;(17);(17);(5);(4);(5);(3,3,1,1,2);(125)
6292;(25);(67);(4);(10);(6);(1,2,2,0,0,1);()
6293;(70);(11);(13);(8);(16);(2,2,3,3,1,1,1,3,1,1,2,2,0,0,0,3);(14)
6294;(13);(49);(9);(20);(10);(1,1,2,3,3,1,0,3,1,3);(107,126)
6295;(6);(39);(10);(10);(3);(2,2,2);()
6296;(27);(25);(10);(6);(4);(2,2,2,0);(259,303,319)
6297;(68);(43);(13);(7);(8);(3,2,0,0,1,1,1,1);()
6298;(51);(33);(6);(4);(6);(0,1,1,2,2,1);(91,266)
6299;(0);(30);(6);(3);(16);(0,0,1,1,0,2,1,1,1,1,1,2,2,0,2,3);(158,202)
6300;(13);(55);(4);(8);(13);(0,1,2,2,1,2,2,3,0,3,3,0,1);(5)
6301;(16);(17);(4);(15);(3);(2,1,0);()
6302;(28);(10);(6);(3);(4);(0,2,2,1);(88,311)
6303;(25);(15);(8);(2);(14);(1,0,0,2,2,2,3,0,0,0,0,0,0,0);()
6304;(72);(30);(7);(3);(11);(2,3,3,0,0,3,2,2,2,2,2);()
6305;(7);(26);(7);(9);(16);(1,1,1,1,2,2,2,2,2,0,3,1,2,0,2,2);()
6306;(29);(15);(4);(3);(10);(0,2,2,3,2,0,2,2,0,3);()
6307;(25);(10);(6);(12);(8);(1,0,3,2,3,2,2,0);()
6308;(83);(67);(5);(9);(11);(3,3,3,3,3,1,1,1,1,1,2);(188,247)
6309;(17);(54);(4);(12);(5);(2,1,2,1,1);(52)
6310;(7);(40);(7);(9);(13);(1,1,3,0,0,1,2,2,3,0,1,1,0);(108)
6311;(6);(38);(7);(6);(19);(1,0,1,0,2,2,1,1,1,3,2,2,3,2,3,0,2,1,2);()
6312;(47);(28);(6);(8);(1);(2);()
6313;(16);(15);(8);(4);(2);(2,2);(305)
6314;(13);(4);(4);(20);(2);(2,0);()
6315;(12);(65);(7);(7);(4);(0,3,2,3);(313)
6316;(58);(60);(8);(14);(15);(0,1,1,1,1,3,3,3,1,2,3,2,2,2,2);()
6317;(70);(16);(6);(3);(4);(3,0,0,2);()
6318;(14);(26);(4);(10);(7);(0,2,1,3,0,1,1);(146)
6319;(74);(42);(5);(21);(4);(1,2,2,2);()
6320;(51);(36);(4);(4);(4);(3,2,2,2);(80)
6321;(99);(50);(6);(10);(4);(0,2,3,2);(66,228)
6322;(68);(50);(13);(3);(1);(0);()
6323;(6);(54);(5);(4);(4);(1,1,0,3);()
6324;(50);(42);(7);(5);(9);(3,1,2,1,1,1,3,3,0);(349)
6325;(28);(47);(10);(5);(5);(0,3,0,0,0);(152)
6326;(32);(60);(10);(12);(7);(2,0,0,1,3,3,1);()
6327;(51);(3);(4);(8);(7);(0,2,2,3,3,1,1);()
6328;(14);(44);(9);(15);(10);(2,2,2,2,3,0,2,1,2,2);()
6329;(7);(14);(19);(8);(14);(3,0,0,2,3,3,2,2,1,0,2,3,2,0);(210)
6330;(14);(47);(5);(2);(4);(2,0,2,2);(185,210)
6331;(25);(15);(4);(4);(10);(1,1,1,1,2,0,0,0,2,3);()
6332;(14);(26);(11);(3);(10);(1,2,2,1,1,1,0,2,2,3);(44)
6333;(10);(10);(4);(3);(16);(1,2,1,1,2,0,2,0,3,1,1,1,1,3,1,0);()
6334;(26);(17);(7);(12);(7);(0,0,1,2,2,0,2);()
6335;(74);(4);(9);(22);(12);(3,1,1,1,1,1,0,0,0,0,2,2);()
6336;(32);(24);(9);(17);(6);(1,2,1,3,0,2);()
6337;(99);(24);(11);(6);(11);(0,1,2,1,1,2,2,0,2,0,2);(57,318)
6338;(68);(32);(4);(12);(3);(2,1,0);(196)
6339;(41);(22);(6);(6);(6);(0,0,0,3,3,1);()
6340;(35);(27);(8);(10);(4);(0,2,2,2);()
6341;(23);(9);(4);(14);(4);(2,3,0,3);(5,204,266,270)
6342;(72);(49);(9);(12);(4);(1,0,0,0);(288)
6343;(12);(58);(5);(8);(15);(3,1,2,2,3,3,3,1,2,0,0,1,1,1,3);(21)
6344;(68);(7);(11);(7);(1);(0);(8,19)
6345;(47);(54);(9);(9);(7);(0,2,0,0,1,3,0);(169)
6346;(42);(60);(6);(8);(10);(1,1,2,2,2,1,0,0,0,1);()
6347;(74);(9);(8);(12);(4);(1,0,0,0);(300)
6348;(22);(58);(8);(8);(4);(1,1,1,2);()
6349;(47);(31);(12);(9);(0);();(102)
6350;(13);(39);(10);(10);(7);(1,2,2,2,2,2,2);(17,84,228,245)
6351;(47);(65);(9);(10);(13);(2,2,3,2,3,0,2,0,1,3,1,1,0);(151)
6352;(28);(54);(3);(6);(4);(3,2,0,3);(227)
6353;(17);(39);(5);(7);(11);(2,2,2,2,2,0,2,2,1,3,2);(119,158)
6354;(32);(43);(6);(6);(4);(1,1,1,2);()
6355;(47);(36);(4);(7);(11);(2,2,3,2,3,3,1,0,1,3,2);()
6356;(47);(45);(7);(8);(4);(2,1,1,1);(322)
6357;(47);(33);(10);(7);(4);(1,1,1,2);()
6358;(34);(7);(8);(10);(5);(1,1,1,1,1);()
6359;(13);(51);(5);(8);(11);(1,2,2,1,1,1,1,1,2,2,1);(153)
6360;(14);(23);(4);(6);(10);(0,0,1,3,2,3,3,3,0,1);(322)
6361;(51);(45);(3);(12);(1);(2);()
6362;(12);(23);(11);(6);(8);(2,0,0,2,1,2,0,1);(84)
6363;(37);(60);(9);(9);(6);(1,1,2,1,1,1);(218)
6364;(74);(67);(5);(6);(16);(0,3,2,1,1,0,2,3,3,0,2,0,1,3,3,2);(244)
6365;(72);(60);(7);(4);(7);(1,2,1,1,0,0,0);(15)
6366;(14);(20);(5);(8);(3);(2,3,3);()
6367;(7);(32);(12);(14);(3);(0,0,2);()
6368;(13);(51);(4);(5);(12);(2,2,2,2,1,0,2,2,2,3,1,0);()
6369;(39);(44);(7);(8);(4);(1,1,2,2);()
6370;(13);(33);(2);(8);(5);(2,2,2,2,2);()
6371;(11);(45);(2);(13);(5);(0,2,2,0,3);()
6372;(6);(34);(15);(9);(4);(2,2,1,1);()
6373;(58);(24);(3);(13);(6);(1,0,2,0,2,3);(16)
6374;(70);(66);(8);(3);(5);(2,2,2,0,2);()
6375;(52);(51);(9);(15);(10);(0,3,2,2,0,1,3,0,1,0);(226,245)
6376;(99);(39);(3);(6);(5);(3,1,1,1,3);(139)
6377;(13);(50);(7);(16);(1);(3);(133,176)
6378;(7);(23);(11);(14);(3);(2,3,1);()
6379;(16);(7);(7);(11);(2);(2,1);()
6380;(53);(55);(9);(8);(8);(2,2,2,1,2,2,0,1);()
6381;(70);(2);(9);(9);(6);(2,2,2,1,1,0);()
6382;(28);(7);(6);(8);(1);(3);()
6383;(2);(37);(8);(8);(4);(3,0,2,0);(58)
6384;(60);(41);(7);(11);(11);(2,2,2,0,1,1,1,1,2,0,2);(66)
6385;(28);(30);(3);(6);(3);(2,2,0);()
6386;(16);(31);(6);(9);(4);(2,2,0,3);()
6387;(57);(59);(3);(10);(4);(1,1,1,1);()
6388;(73);(1);(8);(11);(10);(2,2,0,2,1,3,2,2,2,1);(58,147,156,319)
6389;(74);(3);(12);(8);(4);(0,3,0,3);(35,215,289)
6390;(41);(55);(5);(6);(9);(1,2,1,1,3,1,2,2,3);(75,315)
6391;(68);(16);(5);(12);(2);(0,2);(306)
6392;(14);(66);(9);(12);(6);(3,3,0,2,0,0);(56)
6393;(16);(60);(16);(8);(5);(0,0,1,1,0);()
6394;(14);(31);(9);(12);(7);(1,1,2,0,2,2,1);()
6395;(18);(31);(5);(9);(10);(2,3,2,0,1,2,2,0,2,2);()
6396;(47);(52);(5);(5);(4);(2,0,2,3);()
6397;(8);(38);(8);(10);(9);(0,1,2,2,0,0,2,1,1);(72,150)
6398;(58);(35);(8);(11);(6);(1,0,0,2,2,2);()
6399;(14);(15);(4);(7);(4);(2,2,2,0);(6)
6400;(25);(59);(3);(6);(6);(1,3,0,0,2,2);()
6401;(36);(30);(9);(6);(8);(1,1,3,3,0,2,2,2);()
6402;(19);(67);(6);(11);(5);(2,2,0,1,2);()
6403;(70);(51);(7);(6);(4);(2,3,1,2);()
6404;(25);(56);(14);(11);(15);(3,2,2,0,0,3,0,2,2,2,2,3,1,1,3);()
6405;(47);(42);(5);(16);(7);(2,0,2,3,2,3,2);()
6406;(73);(16);(7);(12);(2);(3,0);()
6407;(43);(38);(15);(10);(9);(1,1,1,2,3,0,0,2,2);(260)
6408;(71);(59);(6);(7);(4);(1,0,2,0);(58,217,282)
6409;(25);(38);(7);(12);(4);(0,2,1,1);()
6410;(25);(36);(16);(9);(8);(0,3,0,0,2,0,0,2);()
6411;(28);(66);(6);(5);(6);(0,1,1,1,3,2);()
6412;(99);(1);(10);(8);(3);(1,1,2);(69)
6413;(51);(25);(8);(7);(9);(2,3,3,0,2,3,1,1,1);(276)
6414;(39);(50);(6);(13);(6);(1,3,3,1,1,2);()
6415;(25);(28);(9);(4);(4);(1,1,1,3);(62,324)
6416;(96);(65);(3);(11);(18);(0,1,0,2,2,3,2,0,1,1,3,0,2,2,2,0,0,1);()
6417;(14);(62);(9);(7);(2);(3,1);(29,319)
6418;(18);(22);(3);(15);(4);(0,0,1,3);(210,329)
6419;(44);(3);(3);(9);(8);(0,0,0,3,0,1,1,2);()
6420;(16);(50);(7);(5);(5);(1,2,2,3,2);()
6421;(8);(55);(3);(15);(4);(0,1,3,1);(226)
6422;(68);(31);(9);(10);(4);(2,3,2,1);()
6423;(36);(46);(7);(8);(2);(1,3);(249)
6424;(99);(55);(10);(12);(2);(2,2);(219,259,270,286)
6425;(4);(28);(6);(8);(4);(1,1,1,3);(20)
6426;(47);(39);(3);(10);(7);(2,0,0,2,2,2,0);(236)
6427;(72);(49);(7);(22);(9);(3,3,1,2,2,0,2,2,2);(149)
6428;(58);(24);(6);(12);(3);(1,1,3);()
6429;(23);(17);(9);(10);(5);(1,1,2,1,1);()
6430;(68);(31);(8);(5);(5);(2,0,2,2,1);()
6431;(13);(4);(5);(12);(6);(3,1,2,1,1,2);(11,65,289)
6432;(35);(42);(5);(3);(9);(1,3,1,0,2,2,2,1,1);(8,194,322)
6433;(13);(50);(5);(11);(6);(2,0,2,3,0,2);(269)
6434;(99);(40);(10);(9);(10);(2,0,0,0,1,1,3,1,3,3);(23)
6435;(19);(52);(16);(8);(2);(2,0);(76)
6436;(14);(50);(11);(4);(7);(0,1,3,0,2,0,2);()
6437;(50);(38);(4);(9);(4);(0,2,1,1);(232)
6438;(42);(38);(4);(22);(7);(1,1,3,1,1,2,3);()
6439;(50);(55);(11);(8);(2);(0,1);(124)
6440;(60);(55);(10);(10);(7);(3,2,2,2,0,0,2);(219)
6441;(74);(44);(8);(10);(9);(0,1,2,0,1,1,2,2,0);()
6442;(47);(31);(13);(2);(2);(1,0);(171)
6443;(14);(15);(4);(11);(7);(1,1,1,3,3,0,0);()
6444;(23);(36);(2);(4);(3);(1,1,2);()
6445;(34);(40);(9);(9);(9);(2,2,2,2,1,1,1,1,0);(200)
6446;(12);(55);(11);(10);(14);(1,2,2,0,0,0,2,0,2,0,1,1,1,0);(96)
6447;(39);(14);(8);(8);(9);(1,1,3,3,2,3,3,0,0);()
6448;(68);(54);(8);(12);(8);(3,2,0,0,0,2,0,1);(73)
6449;(70);(34);(5);(7);(6);(2,3,2,0,3,2);(149)
6450;(47);(32);(2);(4);(0);();(202)
6451;(13);(40);(8);(9);(7);(3,3,3,0,0,2,1);()
6452;(42);(59);(4);(10);(11);(0,1,0,2,2,2,0,1,2,2,2);(49,260)
6453;(6);(49);(7);(7);(11);(1,1,3,0,2,0,0,0,2,0,2);()
6454;(72);(45);(5);(15);(6);(0,0,2,0,1,1);(32,198,261,267,302)
6455;(16);(39);(3);(4);(7);(1,1,3,0,2,0,2);(11,273)
6456;(86);(55);(9);(10);(2);(0,0);(45,283)
6457;(41);(1);(7);(8);(4);(2,2,2,2);()
6458;(47);(49);(7);(6);(10);(3,3,2,2,1,1,3,1,2,2);(67)
6459;(25);(54);(7);(11);(20);(2,2,2,3,2,3,3,0,2,1,3,3,0,0,0,3,0,0,2,0);()
6460;(22);(10);(2);(16);(11);(0,2,2,3,2,0,0,3,0,0,2);(109,255,310)
6461;(34);(14);(10);(6);(1);(0);(57)
6462;(99);(62);(7);(18);(12);(3,2,2,0,0,1,2,2,2,1,3,1);()
6463;(13);(49);(5);(20);(5);(1,0,1,2,2);(80)
6464;(16);(50);(3);(4);(5);(0,0,1,3,1);(266)
6465;(39);(3);(5);(8);(8);(1,2,2,2,0,1,2,2);(82)
6466;(14);(54);(3);(9);(4);(3,0,0,0);()
6467;(58);(42);(2);(7);(4);(1,1,0,1);(61,130)
6468;(13);(41);(3);(17);(11);(3,0,3,0,2,2,1,0,3,2,3);()
6469;(13);(50);(10);(8);(5);(2,2,0,0,2);()
6470;(2);(14);(10);(8);(7);(0,0,0,0,2,1,1);()
6471;(22);(40);(10);(3);(12);(0,0,2,0,2,2,3,1,1,2,2,3);(301)
6472;(23);(31);(7);(2);(5);(1,2,1,3,3);(53)
6473;(66);(42);(5);(9);(8);(1,1,2,1,2,1,2,3);(24,74,128,154,178,217)
6474;(19);(66);(8);(6);(1);(0);()
6475;(13);(44);(5);(9);(5);(1,3,3,1,1);(287)
6476;(16);(25);(6);(10);(6);(2,2,2,2,2,0);(331)
6477;(68);(49);(2);(9);(6);(2,2,2,3,0,0);(310)
6478;(68);(59);(3);(5);(7);(1,3,1,0,0,2,3);(255,257)
6479;(23);(31);(4);(3);(5);(1,3,1,1,2);(293)
6480;(23);(44);(8);(8);(3);(0,0,2);(21)
6481;(41);(42);(3);(14);(6);(3,1,1,1,3,0);(28)
6482;(47);(45);(4);(10);(5);(2,1,2,2,0);(80)
6483;(42);(55);(4);(9);(6);(2,3,2,2,3,3);(136,249)
6484;(41);(14);(7);(11);(4);(3,3,0,2);(144,203)
6485;(4);(44);(7);(20);(11);(0,0,0,1,1,1,1,1,2,1,1);(303)
6486;(16);(32);(3);(7);(7);(0,2,1,3,0,1,1);()
6487;(32);(36);(7);(3);(0);();(174)
6488;(23);(49);(7);(12);(2);(3,3);(18,56,256)
6489;(50);(27);(12);(12);(19);(3,3,0,2,0,3,2,0,2,0,1,1,1,1,1,1,1,1,0);(65)
6490;(47);(30);(3);(3);(10);(1,2,1,0,2,2,0,2,0,2);()
6491;(13);(39);(5);(22);(10);(0,3,0,2,3,3,2,2,2,1);(82,120,216)
6492;(22);(55);(2);(10);(14);(0,0,0,2,2,2,2,3,0,0,2,0,1,3);(277)
6493;(73);(51);(9);(11);(1);(0);()
6494;(42);(42);(5);(19);(10);(3,2,0,3,3,0,1,1,2,2);(131)
6495;(19);(45);(6);(9);(5);(2,2,2,2,1);()
6496;(13);(39);(11);(10);(1);(2);()
6497;(18);(27);(3);(10);(2);(3,2);()
6498;(25);(2);(12);(6);(9);(2,3,1,2,0,1,1,2,0);()
6499;(23);(67);(8);(11);(4);(2,2,1,2);()
6500;(34);(49);(8);(9);(11);(2,2,3,3,0,2,1,0,2,3,3);()
6501;(16);(59);(4);(6);(11);(2,3,3,2,2,3,3,2,2,1,1);()
6502;(14);(14);(4);(11);(8);(0,2,2,0,2,1,1,2);(264)
6503;(47);(40);(12);(12);(5);(2,1,0,1,1);()
6504;(22);(14);(8);(11);(2);(0,0);(99)
6505;(16);(2);(5);(12);(6);(2,0,1,1,1,2);()
6506;(45);(17);(12);(12);(2);(2,2);()
6507;(33);(47);(4);(5);(4);(0,3,0,2);(134)
6508;(6);(43);(7);(2);(11);(2,3,1,3,2,1,3,0,3,3,0);(225)
6509;(73);(43);(8);(13);(14);(1,2,3,0,2,2,3,3,0,1,1,2,3,3);()
6510;(28);(50);(3);(8);(1);(1);(180,289)
6511;(47);(11);(4);(13);(4);(2,1,1,3);(275,282)
6512;(99);(30);(8);(3);(12);(2,0,2,0,2,3,0,2,1,2,2,1);()
6513;(50);(43);(8);(11);(10);(0,3,2,2,0,3,3,1,1,3);(6,122)
6514;(35);(32);(7);(9);(15);(2,2,1,2,3,1,2,2,2,0,2,3,3,3,1);()
6515;(18);(44);(12);(9);(0);();()
6516;(22);(55);(12);(6);(13);(1,2,2,2,2,2,2,3,0,2,3,3,2);(18,21)
6517;(28);(22);(3);(15);(0);();(175,286)
6518;(0);(17);(12);(12);(8);(3,2,1,1,1,1,3,3);(170)
6519;(14);(36);(8);(5);(5);(2,2,0,0,2);()
6520;(16);(52);(5);(9);(5);(1,1,1,3,3);()
6521;(6);(50);(11);(8);(8);(0,1,1,3,3,0,3,3);()
6522;(81);(39);(2);(21);(4);(1,1,1,1);()
6523;(28);(31);(3);(3);(8);(3,3,0,1,3,1,0,1);(240)
6524;(23);(49);(11);(5);(5);(1,2,2,2,2);(175)
6525;(28);(36);(10);(5);(7);(3,0,2,2,2,2,2);(184)
6526;(16);(56);(3);(12);(6);(0,1,2,1,3,2);()
6527;(4);(45);(8);(11);(2);(0,2);()
6528;(25);(49);(11);(6);(1);(1);(229)
6529;(25);(58);(19);(6);(2);(3,3);()
6530;(52);(15);(3);(3);(2);(1,3);(303)
6531;(70);(36);(10);(8);(8);(2,1,3,2,1,2,1,2);()
6532;(14);(39);(2);(8);(8);(0,2,3,0,2,0,2,2);(333)
6533;(81);(44);(8);(3);(5);(1,1,1,3,1);()
6534;(41);(45);(3);(9);(4);(2,0,1,3);(145,169)
6535;(41);(38);(5);(9);(3);(2,1,3);(188,274)
6536;(39);(55);(7);(14);(10);(1,2,2,0,0,2,0,2,1,1);()
6537;(36);(25);(9);(7);(7);(1,1,2,1,0,1,3);(61)
6538;(68);(44);(9);(9);(18);(2,0,1,2,0,1,0,2,3,1,3,2,0,1,2,2,2,0);(21,41)
6539;(37);(45);(4);(9);(7);(0,3,0,2,0,2,3);()
6540;(50);(58);(7);(10);(5);(3,1,3,0,1);()
6541;(70);(44);(12);(11);(4);(0,2,2,1);(263)
6542;(2);(38);(12);(10);(4);(2,2,3,1);()
6543;(6);(38);(8);(12);(2);(1,1);(105,309)
6544;(25);(26);(9);(11);(4);(2,2,2,2);(172)
6545;(35);(47);(11);(5);(9);(1,1,1,0,3,1,3,3,3);(211)
6546;(72);(60);(7);(5);(4);(3,2,0,1);()
6547;(50);(59);(2);(12);(20);(0,2,3,0,1,0,3,1,0,2,2,0,1,3,0,2,2,1,1,2);(58,136)
6548;(81);(17);(12);(7);(4);(1,2,1,0);(94,179)
6549;(28);(66);(3);(7);(5);(2,3,3,0,2);(191)
6550;(47);(50);(3);(4);(10);(1,0,0,0,2,2,1,2,1,1);()
6551;(9);(43);(3);(12);(8);(2,3,2,1,1,2,0,0);(33,250)
6552;(13);(62);(5);(9);(7);(2,2,3,2,2,0,1);(68)
6553;(68);(45);(2);(22);(2);(0,2);()
6554;(69);(60);(7);(10);(4);(0,3,0,0);()
6555;(60);(36);(3);(6);(2);(2,2);(10,205)
6556;(70);(45);(8);(12);(11);(1,0,0,0,2,0,2,1,2,2,2);()
6557;(17);(36);(5);(11);(11);(2,0,2,2,0,0,2,2,0,3,2);()
6558;(37);(26);(5);(9);(7);(1,3,1,0,2,2,2);(55,146)
6559;(16);(14);(12);(11);(7);(0,1,1,3,0,0,2);()
6560;(13);(43);(11);(13);(4);(3,1,3,2);(265)
6561;(4);(7);(2);(11);(10);(2,0,2,0,0,0,2,2,2,1);(97)
6562;(11);(26);(14);(14);(9);(3,2,0,2,2,2,0,1,3);()
6563;(34);(45);(8);(7);(7);(3,2,0,1,2,2,2);(122)
6564;(6);(36);(7);(8);(3);(2,2,2);()
6565;(25);(37);(12);(7);(8);(1,1,1,0,3,0,2,3);(227)
6566;(17);(10);(7);(1);(4);(2,0,0,0);(71,118,265)
6567;(70);(26);(3);(7);(8);(1,2,2,2,2,2,0,2);(159)
6568;(68);(54);(8);(11);(12);(2,1,1,0,0,2,3,2,3,3,3,3);(68)
6569;(19);(50);(13);(18);(14);(3,1,0,2,1,1,2,0,3,1,2,0,0,0);()
6570;(0);(4);(7);(7);(5);(2,0,0,1,3);()
6571;(25);(58);(9);(9);(12);(1,1,3,3,0,2,1,1,1,0,2,0);(348)
6572;(68);(40);(10);(11);(6);(2,2,3,0,2,2);(277)
6573;(16);(39);(7);(9);(3);(1,1,3);(326)
6574;(58);(45);(5);(10);(6);(2,2,0,3,0,0);()
6575;(74);(50);(10);(8);(10);(0,0,2,2,0,1,0,0,1,1);(285)
6576;(68);(47);(8);(13);(4);(0,2,2,2);()
6577;(68);(41);(15);(16);(14);(1,1,3,1,1,2,1,2,2,1,1,2,0,0);()
6578;(68);(31);(12);(3);(3);(0,3,1);(307)
6579;(16);(58);(8);(10);(15);(0,3,1,2,2,1,1,3,0,0,2,1,1,3,1);(273)
6580;(16);(45);(6);(8);(5);(0,3,1,1,1);(93,313)
6581;(43);(38);(13);(12);(5);(0,2,3,2,1);()
6582;(16);(49);(6);(12);(13);(0,2,0,0,2,2,0,2,2,1,1,1,3);()
6583;(11);(14);(2);(10);(4);(1,3,2,1);(309)
6584;(73);(45);(7);(14);(3);(2,2,0);()
6585;(42);(41);(5);(21);(7);(0,2,0,3,1,1,1);(1)
6586;(16);(28);(8);(10);(12);(0,2,2,2,1,3,3,2,3,0,0,1);()
6587;(0);(28);(6);(17);(7);(1,3,0,1,1,1,3);()
6588;(25);(34);(11);(7);(6);(0,1,3,2,2,3);()
6589;(68);(44);(6);(10);(4);(0,2,0,3);()
6590;(51);(32);(8);(9);(10);(0,3,0,1,3,1,1,1,2,0);(140,284)
6591;(22);(17);(5);(5);(3);(1,3,3);(127)
6592;(13);(40);(5);(9);(4);(3,3,1,0);(197)
6593;(7);(7);(8);(9);(2);(2,0);(92,310)
6594;(50);(33);(11);(9);(10);(2,1,1,0,0,3,0,0,1,1);()
6595;(38);(20);(5);(8);(4);(2,0,2,3);(168)
6596;(16);(4);(10);(9);(8);(0,2,3,2,2,1,2,1);(126)
6597;(14);(39);(6);(5);(3);(0,0,2);(18,70)
6598;(25);(25);(2);(6);(4);(2,2,0,2);(228)
6599;(16);(30);(6);(6);(9);(2,0,2,2,0,2,2,2,3);(197,343)
6600;(14);(55);(6);(15);(3);(2,2,3);()
6601;(38);(15);(9);(5);(6);(1,1,3,0,2,2);(209)
6602;(28);(4);(5);(10);(3);(0,0,3);(128,284)
6603;(81);(43);(6);(2);(7);(1,1,1,3,0,1,0);(154,299)
